message_id	ttr	speaker	lang	ltype
post3309541	0.665	The WR Moderator Team	English	L2
post5286865	0.645	The WR Moderator Team	English	L2
post5286866	0.51	The WR Moderator Team	English	L2
post5743368	0.445	The WR Moderator Team	English	L2
post3313038	0.685	The WR Moderator Team	English	L2
post3313058	0.645	The WR Moderator Team	English	L2
post14550492	0.615	The WR Moderator Team	English	L2
post18055463	0.625	Swatters	French - Belgium, some Wallo-Picard	L1
post1740485	0.585	CABEZOTA	french	L1
post18034080	0.68	aitonnudieu	Vietnamien	L2
post18036935	0.7	aitonnudieu	Vietnamien	L2
post17238392	0.575	plantin	français	L1
post17238630	0.225	Maître Capello	French – Switzerland	L1
post17239698	0.62	k@t	Français de France	L1
post17240063	0.64	plantin	français	L1
post17240257	0.62	k@t	Français de France	L1
post18034893	0.7	simenon	italien	L2
post13711119	0.655	Logospreference-1	français	L1
post18017510	0.675	JClaudeK	Français France;       Deutsch (SW-Dtl.)	L1
post18015580	0.225	FR-ES	Français	L1
post18016122	0.665	Maître Capello	French – Switzerland	L1
post18016274	0.645	FR-ES	Français	L1
post18016625	0.585	Maître Capello	French – Switzerland	L1
post18011717	0.61	Graine de Moutarde	American English	L2
post18003526	0.67	Swatters	French - Belgium, some Wallo-Picard	L1
post1872727	0.59	CABEZOTA	french	L1
post1873364	0.675	CABEZOTA	french	L1
post10969083	0.56	Marie3933	français	L1
post10969489	0.53	itka	français	L1
post10972825	0.67	itka	français	L1
post10973207	0.715	Marie3933	français	L1
post14137561	0.62	Etoile39	USA, English	L2
post14138133	0.5	SergueiL	Français	L1
post4322180	0.465	Maître Capello	French – Switzerland	L1
post17580690	0.505	k@t	Français de France	L1
post17585925	0.655	k@t	Français de France	L1
post17589665	0.525	k@t	Français de France	L1
post2330302	0.655	chics	Catalan - Spanish	L2
post17987224	0.7	iuytr	french	L1
post2324449	0.62	Aupick	UK, English	L2
post2324696	0.675	LV4-26	France French	L1
post17979837	0.655	simenon	italien	L2
post3890089	0.55	jaro59	Switzerland, German, Polish	L2
post17977369	0.675	simenon	italien	L2
post13833408	0.625	Vixounet	Français	L1
post7939790	0.665	Chimel	Français	L1
post13082943	0.64	Mumus09	French	L1
post17944680	0.635	salah94	Arabe	L2
post17954927	0.695	Cigaloune	French (France)	L1
post4243770	0.505	Jeanbar	France	L1
post6930951	0.675	Donaldos	French - France	L1
post13303201	0.545	-chocolatine-	allemand	L2
post16794783	0.575	frenglishguy	Korean	L2
post17186755	0.66	plantin	français	L1
post17187377	0.695	plantin	français	L1
post17187565	0.68	plantin	français	L1
post17188423	0.675	plantin	français	L1
post17934475	0.57	plazbovo	francais	L1
post17938807	0.725	plazbovo	francais	L1
post17943607	0.62	k@t	Français de France	L1
post17944263	0.59	plazbovo	francais	L1
post17944293	0.715	ancenis	français/France	L1
post17944329	0.67	plazbovo	francais	L1
post14559118	0.65	OLN	French - France,  ♀	L1
post14584497	0.47	cpt frakas	French	L1
post17907033	0.705	ancenis	français/France	L1
post17927770	0.615	ancenis	français/France	L1
post3760969	0.705	Punky Zoé	France - français	L1
post17917811	0.65	ancenis	français/France	L1
post17914428	0.705	aitonnudieu	Vietnamien	L2
post8661403	0.66	Me-K	french	L1
