message_id	ttr	speaker	lang	ltype	topic	topicstarter	topicstarter_lang	topicstarter_ltype
post10471371	0.635	cuchuflete	EEUU-inglés	L2	post5765808	cuchuflete	EEUU-inglés	L2
post5765277	0.65	timpeac	English (England)	L1	post10471296	cuchuflete	EEUU-inglés	L2
post9610673	0.455	Thomas Tompion	English - England	L1	post9610615	irysek	Polish	L2
post18043761	0.545	prudent260	Chinese	L2	post18043009	prudent260	Chinese	L2
post18040168	0.61	manfy	German - Austria	L2	post18040086	Saltie	Russian, Russia, Sochi	L2
post18028920	0.57	dojibear	English - Northeast US	L1	post18028837	Dennis Lee	Hong Kong	L2
post18027730	0.47	elroy	US English/Palestinian Arabic bilingual	L1	post18027585	JungKim	Korean	L2
post18002650	0.475	Uncle Jack	British English	L1	post18002615	hboo	Chinese	L2
post18000247	0.505	PaulQ	English - England	L1	post18000217	Lady Lovelace	italian	L2
post17987594	0.495	dojibear	English - Northeast US	L1	post17987573	nosaijin	Chinese (Traditional)	L2
post17977858	0.51	PaulQ	English - England	L1	post17977798	hhtt	Turkish	L2
post17970921	0.585	kentix	English - U.S.	L1	post17970859	panview	Chinese	L2
post17023413	0.405	PaulQ	English - England	L1	post17023349	AsianCook	Russian, Chelyabinsk	L2
post17951695	0.46	PaulQ	English - England	L1	post17951652	Super Saiyan	Cantonese	L2
post17954143	0.56	coiffe	American English	L1	post17954086	Daniellll	korean	L2
post17952183	0.545	dojibear	English - Northeast US	L1	post17952094	Kolridg	Russian	L2
post17952805	0.6	Uncle Jack	British English	L1	post17952505	raymondaliasapollyon	Chinese	L2
post7203171	0.58	Istarion	British English	L1	post7202937	Solna	Spanish - Spain	L2
post17946969	0.535	Barque	Tamil	L2	post17946916	magic dragon feeders	Japanese	L2
post17207665	0.6	Truffula	English - USA	L1	post17206523	Cwej	UK English	L1
post10008377	0.61	a little edgy	English	L1	post10008305	Daffodil100	Chinese	L2
post17764592	0.275	se16teddy	English - England	L1	post17764572	nkaper	russian	L2
post17937011	0.575	Delvo	American English	L1	post17936892	nkaper	russian	L2
post17927115	0.59	Uncle Jack	British English	L1	post17926962	Shingo	Japanese	L2
post900063	0.475	panjandrum	English-Ireland (top end)	L1	post900026	Hela	Tunisia - French	L2
post17923430	0.605	much_rice	English - American	L1	post17923423	Abalord	Hebrew	L2
