message_id	ttr	speaker	lang	ltype
post11019183	0.58	lauranazario	Español puertorriqueño & US English	L1
post11019222	0.685	ampurdan	Català & español (Spain)	L1
post12112581	0.57	ampurdan	Català & español (Spain)	L1
post17981401	0.54	Nata_Ive	Russian	L2
post17983692	0.645	charlybayer	spanish - yorugua	L1
post18058456	0.585	pordiosero	Árabe-Dariya	L2
post7300870	0.575	Javier Fdez. Collantes	España, español	L1
post17715711	0.545	Aviador	Castellano de Chile	L1
post18054942	0.61	Elcanario	Spanish - Spain	L1
post18054236	0.63	Mister Draken	Castellano (Argentina)	L1
post15084050	0.65	Xiscomx	Español de España y Balear	L1
post15407988	0.545	Xiscomx	Español de España y Balear	L1
post15408262	0.635	Xiscomx	Español de España y Balear	L1
post15408279	0.69	swift	Spanish – Costa Rica (Valle Central)	L1
post18048203	0.53	woajiaorobert	Spanish - Ecuador	L1
post18047219	0.61	natasha2000	Serbian	L2
post18043376	0.53	natasha2000	Serbian	L2
post18044495	0.535	Circunflejo	Castellano de Castilla	L1
post8203932	0.555	ositomentos	Spanish (Spain)	L1
post18041943	0.655	Miguel On Ojj	Castellano	L1
post17985819	0.58	Miguel On Ojj	Castellano	L1
post13562354	0.65	Sibutlasi	Spanish-Spain	L1
post13563654	0.59	Sibutlasi	Spanish-Spain	L1
post18032779	0.6	Cerros de Úbeda	Spanish - Spain	L1
post18038366	0.62	Xiscomx	Español de España y Balear	L1
post9237735	0.635	RaulCavazos	Mexican Spanish	L1
post17967768	0.595	Señor K	Español chileno	L1
post18030946	0.705	lavecilla	Español	L1
post18032808	0.66	lavecilla	Español	L1
post18028483	0.605	jilar	Español	L1
post14836332	0.55	nand-o	European Spanish	L1
post14836414	0.715	Julvenzor	Español propio (Andalucía, España)	L1
post14836504	0.68	nand-o	European Spanish	L1
post14836560	0.755	Julvenzor	Español propio (Andalucía, España)	L1
post18031069	0.565	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1
post18027473	0.515	MiguelitOOO	Español - México	L1
post18029047	0.63	MiguelitOOO	Español - México	L1
post18029097	0.55	MiguelitOOO	Español - México	L1
post18030134	0.53	MiguelitOOO	Español - México	L1
post16455056	0.615	JeSuisSnob	Mexican Spanish	L1
post18024310	0.565	Miguel On Ojj	Castellano	L1
post11126993	0.6	nelliot53	Spanish-[PR]; English-[US]	L1
post18020456	0.675	Xiscomx	Español de España y Balear	L1
post18020716	0.61	MiguelitOOO	Español - México	L1
post18022230	0.62	Circunflejo	Castellano de Castilla	L1
post18022433	0.645	MiguelitOOO	Español - México	L1
post18016523	0.68	Graciela J	Spanish - Argentina	L1
post18018253	0.545	keyl	Argentina-Spanish / USA	L1
post18018079	0.6582914572864321	lavecilla	Español	L1
post9923996	0.63	XiaoRoel	galego, español	L1
post18016157	0.65	Chiapanecan Harpy Eagle	Spanish	L1
post18012448	0.65	Señor K	Español chileno	L1
post18008525	0.66	lavecilla	Español	L1
post18002241	0.62	MiguelitOOO	Español - México	L1
post18006289	0.64	Xiscomx	Español de España y Balear	L1
post18002929	0.6	jilar	Español	L1
post17270561	0.645	soplamocos	Español rioplatense	L1
post17997778	0.59	insol	Spanish - Argentina	L1
post17994159	0.595	Señor K	Español chileno	L1
post17994578	0.495	Xiscomx	Español de España y Balear	L1
post17992150	0.7	kunvla	Ruso	L2
post17991061	0.54	MiguelitOOO	Español - México	L1
post17992500	0.545	kunvla	Ruso	L2
post17666672	0.585	Penyafort	Catalan (Catalonia), Spanish (Spain)	L1
post17981820	0.52	lovegonta	Japanese	L2
post17982965	0.59	TheCrociato91	Italian - Northern Italy	L2
post14204392	0.625	ukimix	español	L1
post16282477	0.67	swift	Spanish – Costa Rica (Valle Central)	L1
post17979282	0.595	Miguel On Ojj	Castellano	L1
post14761176	0.66	Lampiste	Español	L1
post14763447	0.68	Lampiste	Español	L1
post14765004	0.665	Xiscomx	Español de España y Balear	L1
post14767456	0.645	lavecilla	Español	L1
post14185922	0.615	Xiscomx	Español de España y Balear	L1
post17972314	0.575	Avecita	English-England	L2
post17972803	0.58	Wiseh	Español - Colombia	L1
post5533993	0.63	Polizón	Español	L1
post17971433	0.56	Duometri	Spain, Spanish	L1
post17964750	0.695	swift	Spanish – Costa Rica (Valle Central)	L1
post17969519	0.615	lavecilla	Español	L1
post17968195	0.555	Miguel On Ojj	Castellano	L1
post17962093	0.63	RIU	Español	L1
post17962381	0.645	sleerash	Español, España	L1
post3405166	0.65	alecongua	guatemala, spanish	L1
post3405575	0.715	alecongua	guatemala, spanish	L1
post17960524	0.61	TheCrociato91	Italian - Northern Italy	L2
post13684864	0.58	pabupop	Spanish	L1
post13686102	0.69	Milton Sand	Español (Colombia)	L1
post13688234	0.65	pabupop	Spanish	L1
post17948388	0.7	Xiscomx	Español de España y Balear	L1
post17951023	0.655	Xiscomx	Español de España y Balear	L1
post17630572	0.585	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1
post17633222	0.535	Aviador	Castellano de Chile	L1
post17633471	0.505	MiguelitOOO	Español - México	L1
post17635031	0.65	MiguelitOOO	Español - México	L1
post17940079	0.57	Alberto Kim	korean- south korea	L2
post17942990	0.61	candycanesss	Korean	L2
