message_id	ttr	speaker	lang	ltype	topic	topicstarter	topicstarter_lang	topicstarter_ltype
post11019183	0.58	lauranazario	Español puertorriqueño & US English	L1	post11019192	belén	Spanish, Spain, Catalan, Mallorca	L1
post17715711	0.545	Aviador	Castellano de Chile	L1	post17715645	leslangues13	Turkish	L2
post17270561	0.645	soplamocos	Español rioplatense	L1	post17270504	pordiosero	Árabe-Dariya	L2
post17982965	0.59	TheCrociato91	Italian - Northern Italy	L2	post17982898	Luiss2004	Español colombiano	L1
post17960524	0.61	TheCrociato91	Italian - Northern Italy	L2	post17960406	AthonLince	Italian	L2
post17924158	0.695	jilar	Español	L1	post17923873	jsvillar	Spanish - Spain	L1
post13633893	0.585	ACQM	Spain - Spanish	L1	post13633850	cattac	german	L2
post17911512	0.49	Agró	Spanish-Navarre	L1	post17911492	maicart	Spanish, Spain	L1
post17853517	0.515	albertorabell	spanish - Mexico	L1	post17853169	Dd88	Russian	L2
post17853977	0.63	jilar	Español	L1	post17853753	Andrash	Hungarian - Hungary	L2
post17823154	0.645	Rodal	Castellano (Chile)	L1	post17823081	martin_xnz	Español (Argentina)	L1
post17809308	0.61	MiguelitOOO	Español - México	L1	post17809215	Miguelito1986	English-United States (Pacific Northwest)	L2
post17813526	0.52	Aviador	Castellano de Chile	L1	post17813438	asm	Mexico, Spanish	L1
post17765318	0.64	Calambur	Castellano (rioplatense) - Lunfardo	L1	post17765152	Arcadio177	Español	L1
post15323641	0.65	Rolivares	español - México	L1	post14946667	Jonno	Castellano	L1
post17734099	0.48	jsvillar	Spanish - Spain	L1	post17733972	.wojtek	Polish - Poland	L2
post17719603	0.605	Quique Alfaro	castellano	L1	post17719551	pelus	Castellano (Argentina)	L1
post17715432	0.65	Miguel On Ojj	Castellano	L1	post17715299	Xerfa	Galician,  spanish	L1
post17568420	0.55	Saúl Ortega	Español	L1	post17568385	beguate	japanese	L2
post9724960	0.65	aldonzalorenzo	Spanish	L1	post9724931	pgbonino	Spain and spanish	L1
post9859370	0.615	Bloodsun	Castellano - Argentina	L1	post9859203	elnickestalibre	español	L1
post17495436	0.85	S.V.	Español, México	L1	post17494749	---	English - American	L2
post17441708	0.595	Miguel On Ojj	Castellano	L1	post17441217	Xerfa	Galician,  spanish	L1
post17384935	0.67	Xiscomx	Español de España y Balear	L1	post8315063	rodriguez_rm	italia	L2
post17357114	0.635	Miguel On Ojj	Castellano	L1	post17356920	MoonLight_lights	Spanish!	L1
post17335242	0.52	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1	post17334979	nieves000	chino	L2
post17264931	0.655	Jay Lang	Spanish (from Spain)	L1	post17264708	kornilios	greek	L2
post17247379	0.63	Alfonso Chíncaro	Español (Perú)	L1	post17246962	Landaris	Spanish	L1
post17221427	0.61	Sendro Páez	Spanish - España	L1	post17220633	LoneCavalier	Polish-Poland	L2
post17220034	0.645	Paula Gallego	Spanish - Spain	L1	post17219095	The Virgin	Arabic	L2
post17206964	0.575	Jay Lang	Spanish (from Spain)	L1	post17206646	sunlincong	spanish-chinese	L1
post17204795	0.62	quethibum	Castellano peruano	L1	post17202029	scholz	Hungarian	L2
post3889796	0.665	aleCcowaN	Castellano - Argentina	L1	post3889700	Namarne	Spanish	L1
post17159387	0.62	MiguelitOOO	Español - México	L1	post17159308	lovchinskaya	Russian - Russia	L2
post17159236	0.625	Sendro Páez	Spanish - España	L1	post17158985	Josluar79	Español	L1
post17125677	0.67	Rasp	Castellano de España	L1	post17125467	Señor K	Español chileno	L1
post17114028	0.6	Rasp	Castellano de España	L1	post17113981	The Virgin	Arabic	L2
post17114051	0.56	Rasp	Castellano de España	L1	post17113992	The Virgin	Arabic	L2
post17107664	0.64	lpezbrea	español	L1	post17100112	aesir	Russian	L2
post9554442	0.675	PACOALADROQUE	ESPAÑOL (CARTAGENA-ESPAÑA)	L1	post9554430	Señor K	Español chileno	L1
