message_id	ttr	speaker	lang	ltype	topic	topicstarter	topicstarter_lang	topicstarter_ltype
post5286865	0.71	The WR Moderator Team	English	L2	post3309541	The WR Moderator Team	English	L2
post3313058	0.76	The WR Moderator Team	English	L2	post3313038	The WR Moderator Team	English	L2
post18058852	0.66	OLN	French - France,  ♀	L1	post18057891	caféolé	spanish	L2
post18050661	0.77	nicduf	français	L1	post18050405	sesame_fr11	Chinese	L2
post18043984	0.69	Maître Capello	French – Switzerland	L1	post18043864	LeGauloisBrésilien	Portuguese - Brazilian	L2
post18041857	0.75	nicduf	français	L1	post18041780	limettier	Español Chile	L2
post18040316	0.67	nicduf	français	L1	post18040233	chatkigazouille	Indonesian	L2
post18040672	0.72	primalamusica	German Germany	L2	post18039587	Bovary05	français	L1
post18029062	0.7	OLN	French - France,  ♀	L1	post18027922	yerberi	Turkish	L2
post18020842	0.74	iuytr	french	L1	post18020630	sesame_fr11	Chinese	L2
post13710259	0.59	Logospreference-1	français	L1	post13710170	l'automne	persan-فارسی	L2
post18017752	0.67	OLN	French - France,  ♀	L1	post18016321	Englishisgreat	German	L2
post18015580	0.37	FR-ES	Français	L1	post18015038	Amzie	anglais - Angleterre	L2
post18010760	0.81	Maître Capello	French – Switzerland	L1	post18010680	dicons	Français	L1
post18001239	0.65	Maître Capello	French – Switzerland	L1	post18001194	Egem	Turkish	L2
post1872218	0.5	Calamitintin	France, St Maix les bains, 79	L1	post1872009	bwex562	italian, italy	L2
post17998784	0.54	Maître Capello	French – Switzerland	L1	post17998681	Stella_13	Irlandais ( Irlande )	L2
post17987507	0.55	Cigaloune	French (France)	L1	post17987334	wm138	Chinese	L2
post17985843	0.74	iuytr	french	L1	post17981841	yerberi	Turkish	L2
post17984116	0.8	nicduf	français	L1	post17984073	simenon	italien	L2
post2324696	0.77	LV4-26	France French	L1	post2324449	Aupick	UK, English	L2
post17965811	0.64	OLN	French - France,  ♀	L1	post17965730	Majia	Finnish	L2
post17974422	0.78	olivier68	French Paris France	L1	post17974353	Maïté73	French	L1
post17973194	0.67	Yendred	Français - France	L1	post17973183	Minnita	Finnish - Finland	L2
post17966384	0.57	Maître Capello	French – Switzerland	L1	post17966348	D118	English - Canada	L2
post17966168	0.72	OLN	French - France,  ♀	L1	post17964457	sanne78	Dutch	L2
post17965856	0.66	OLN	French - France,  ♀	L1	post17965790	casquivan	Spanish	L2
post17960085	0.44	Maître Capello	French – Switzerland	L1	post17959521	Áskera	Spanish - Puerto Rico	L2
post3510298	0.72	geostan	English Canada	L2	post3510055	tohd	France français	L1
post12645577	0.84	benpsalto	français	L1	post12645274	doubleoreo	chinois	L2
post17945294	0.6	Maître Capello	French – Switzerland	L1	post17945191	salah94	Arabe	L2
post17938656	0.73	Nanon	français (France)	L1	post17936666	plazbovo	francais	L1
post17941647	0.76	Piotr Ivanovitch	France	L1	post17941618	pascalfor	Français - arpitan	L1
post3760969	0.75	Punky Zoé	France - français	L1	post3760241	gvergara	Español	L2
post17907608	0.71	Yendred	Français - France	L1	post17907414	sesame_fr11	Chinese	L2
post7571954	0.72	Scampitrocui	French - Belgium	L1	post7571682	Pierre Simon	English	L2
post17906490	0.58	iuytr	french	L1	post17906316	limettier	Español Chile	L2
post1380146	0.7	Clayra	France	L1	post1380040	vina	Arabic	L2
post14304323	0.74	Logospreference-1	français	L1	post14303440	ilie86	Italien	L2
post1566156	0.74	J.F. de TROYES	francais-France	L1	post1565928	ran	French (Belgium)	L1
post17892656	0.73	ancenis	français/France	L1	post17892611	casquivan	Spanish	L2
post17892167	0.78	Yendred	Français - France	L1	post17892163	prinver	néerlandais	L2
post17886379	0.72	Yendred	Français - France	L1	post17886316	sesame_fr11	Chinese	L2
post17885535	0.75	OLN	French - France,  ♀	L1	post17885448	Tritta	French	L1
post17883887	0.77	k@t	Français de France	L1	post17883647	Yukia	catalan & spanish from Spain	L2
post17877325	0.68	OLN	French - France,  ♀	L1	post17876581	limettier	Español Chile	L2
post17860843	0.46	Maître Capello	French – Switzerland	L1	post17860399	saquiwej	Hongrois	L2
post17868322	0.73	SergueiL	Français	L1	post17867897	aliyoni	turkish	L2
post17864615	0.74	OLN	French - France,  ♀	L1	post17863585	Mioche	Dutch	L2
post15286167	0.68	AmaryllisBunny	AmE	L2	post15286103	cabbagetyf	chinois	L2
post17832623	0.44	Maître Capello	French – Switzerland	L1	post17832255	xXxLaPaixXxX	English - Canada	L2
post17836312	0.6	Yendred	Français - France	L1	post17836301	timbwolf3	polonais - Pologne	L2
post17831642	0.7	Piotr Ivanovitch	France	L1	post17831556	giuseppegg	Italian	L2
post17809694	0.81	k@t	Français de France	L1	post17809555	Monicaallred	Portuguese - Brazil	L2
post17807801	0.67	Grégory80	French	L1	post17807548	kirakuni8	English - North American	L2
post17804354	0.72	SergueiL	Français	L1	post17804305	sésameouvretoi	chinois	L2
post17789653	0.74	janpol	France - français	L1	post17789246	pcy0308	Korean	L2
post17784392	0.8	Yendred	Français - France	L1	post17784284	aitonnudieu	Vietnamien	L2
post7173347	0.74	JiPiJou	French	L1	post7172106	Lihuanmu	chinese	L2
post17774532	0.68	Grégory80	French	L1	post17774281	Elfe des villes	French	L1
post17774324	0.75	iuytr	french	L1	post17774278	aitonnudieu	Vietnamien	L2
post17770352	0.69	iuytr	french	L1	post17770202	chrisnico89	Chinese	L2
post1667030	0.68	raphaelenka	switzerland	L2	post1660364	dongorthebly	Australia English	L2
post17756507	0.78	SergueiL	Français	L1	post17756127	aitonnudieu	Vietnamien	L2
post6105955	0.58	arundhati	French - France	L1	post6105914	ThomasK	Belgium, Dutch	L2
post17730443	0.73	SergueiL	Français	L1	post17730340	gvergara	Español	L2
post17721403	0.79	friasc	English-Spanish	L2	post17721190	rallyebaba	français	L1
post1333025	0.72	stephatme	French, France	L1	post1324190	mtr	español	L2
post16861332	0.7	Maître Capello	French – Switzerland	L1	post16861008	Nicomon	Français, Québec ♀	L1
post17704240	0.83	J.F. de TROYES	francais-France	L1	post17704131	Readomingues	Portuguese - Brazil	L2
post17702601	0.76	J.F. de TROYES	francais-France	L1	post17702365	chinoisautodidacte	chinois	L2
post17690266	0.62	Maître Capello	French – Switzerland	L1	post17690097	chinoisautodidacte	chinois	L2
post17690172	0.8	JClaudeK	Français France;       Deutsch (SW-Dtl.)	L1	post17690139	aitonnudieu	Vietnamien	L2
post17682331	0.52	Maître Capello	French – Switzerland	L1	post17682205	WAMES.UY	Portuguese - Brazil	L2
post17662163	0.76	iuytr	french	L1	post17661849	chinoisautodidacte	chinois	L2
post17659583	0.65	melymel	French	L1	post17659572	CHOCOLAT17	coréen	L2
post17657092	0.75	iuytr	french	L1	post17656611	Anemona61	Serbian, Serbia	L2
post17651278	0.73	iuytr	french	L1	post17650707	chinoisautodidacte	chinois	L2
post17610205	0.72	Maître Capello	French – Switzerland	L1	post17610081	Áskera	Spanish - Puerto Rico	L2
post6647151	0.7	Cookie75	French - France	L1	post6647010	sneakergroove	Canada English	L2
post17636837	0.64	Yendred	Français - France	L1	post17635913	Anemona61	Serbian, Serbia	L2
post17622830	0.59	SergueiL	Français	L1	post17622552	salah94	Arabe	L2
post3650976	0.7	Punky Zoé	France - français	L1	post3650873	reka	slovenian	L2
post17617487	0.7	SergueiL	Français	L1	post17612628	giuseppegg	Italian	L2
post17608302	0.85	Garoubet	French - France, Quebec	L1	post17607643	beri	France	L1
post11739938	0.78	Esteban451	French - France	L1	post11739917	RecycleBin	Serbian	L2
post17596592	0.67	JClaudeK	Français France;       Deutsch (SW-Dtl.)	L1	post17596544	prinver	néerlandais	L2
post17585742	0.74	Michelvar	French from France	L1	post17584592	sesame_fr11	Chinese	L2
post17576779	0.66	Michelvar	French from France	L1	post17576607	aitonnudieu	Vietnamien	L2
post10141064	0.72	Chimel	Français	L1	post10140467	veronique.evers	french	L1
post17554934	0.68	Yendred	Français - France	L1	post17554899	WAMES.UY	Portuguese - Brazil	L2
post17553983	0.67	Michelvar	French from France	L1	post17552372	Lunettes de Manon	Chinois	L2
post17549779	0.57	Maître Capello	French – Switzerland	L1	post17549414	TristánFarias	Español	L2
post17548211	0.64	primokorn	French	L1	post17548136	DenisedeSEA	English	L2
post17545922	0.7	Grégory80	French	L1	post17545889	sesame_fr11	Chinese	L2
post9020413	0.76	Chimel	Français	L1	post9020281	Tarmac	French - Belgium	L1
post17535185	0.69	Michelvar	French from France	L1	post17535004	aitonnudieu	Vietnamien	L2
post17533395	0.76	SergueiL	Français	L1	post17532141	sesame_fr11	Chinese	L2
post17526834	0.7	Michelvar	French from France	L1	post17526762	sesame_fr11	Chinese	L2
post17525263	0.62	Yendred	Français - France	L1	post17524930	jjccchou	chinese	L2
post17523119	0.78	J.F. de TROYES	francais-France	L1	post17522982	Rose Yu	Chinese	L2
post17524308	0.73	OLN	French - France,  ♀	L1	post17524117	dangliatica	Portuguese - Brazil	L2
post17519310	0.6	Maître Capello	French – Switzerland	L1	post17519181	Lunettes de Manon	Chinois	L2
post17510546	0.58	Yendred	Français - France	L1	post17510486	le Grand Soir	Anglais, dialecte de San Francisco	L1
post17510530	0.7	Yendred	Français - France	L1	post17510466	lea1988hey	Chinois	L2
post17506067	0.63	Lacuzon	French - France	L1	post17506005	agatheand	italiano	L2
post17497462	0.59	Yendred	Français - France	L1	post17496784	AYW	Mandarin	L2
post17493478	0.63	Estaminette	French - France	L1	post17493346	sesame_fr11	Chinese	L2
post17492414	0.82	quinoa	french	L1	post17492234	nasrinklz43	persan	L2
post17485402	0.51	Yendred	Français - France	L1	post17485371	vina	Arabic	L2
post17469594	0.81	snarkhunter	French - France	L1	post17466630	TataPo	russian	L2
post17475249	0.68	Oddmania	French	L1	post17475156	Ludwig Lukasiewicz	Chinese - Mandarin	L2
post17436047	0.71	Piotr Ivanovitch	France	L1	post17436028	simenon	italien	L2
post17457498	0.6	janpol	France - français	L1	post17457292	Janacka	tchèque	L2
post17453847	0.71	Yendred	Français - France	L1	post17453802	yerberi	Turkish	L2
post17452102	0.66	Michelvar	French from France	L1	post17451811	DenisedeSEA	English	L2
post15830704	0.7	Eruanne	French	L1	post15830245	KennyHun	Hungarian	L2
post17448420	0.71	Philippides	Français - France	L1	post17448323	simenon	italien	L2
post17433749	0.72	TO_FR	Français - France	L1	post17411843	nic456	alemán	L2
