message_id	ttr	speaker	lang	ltype
post12423392	0.715	Paulfromitaly	Italian	L1
post12423393	0.71	Paulfromitaly	Italian	L1
post12423394	0.65	Angel.Aura	Italian	L1
post12423396	0.69	Angel.Aura	Italian	L1
post12423397	0.72	Angel.Aura	Italian	L1
post12423399	0.63	Paulfromitaly	Italian	L1
post12423400	0.695	Paulfromitaly	Italian	L1
post18046480	0.625	Francesco94	Italian	L1
post17998888	0.7	mimimarie	Japanese	L2
post18048955	0.6	Passante	italian	L1
post18046119	0.735	Francesco94	Italian	L1
post3424232	0.68	xeneize	Italian	L1
post17989380	0.66	eduarodi	castellano de Argentina	L2
post18034434	0.69	symposium	Italian - Italy	L1
post18020072	0.54	francisgranada	Hungarian	L2
post8732944	0.68	Giuda	italian	L1
post17993504	0.72	Frantos	Italian (Tuscan), Neapolitan	L1
post2361359	0.65	bubu7	Italiano	L1
post2361928	0.675	valy822	Italy- Italian	L1
post2361929	0.65	Saoul	Italian	L1
post2365522	0.705	alcesta	Serbian, Montenegro	L2
post17974398	0.56	Francesco94	Italian	L1
post17857145	0.59	Francesco94	Italian	L1
post17857179	0.55	Francesco94	Italian	L1
post17857425	0.6	bearded	Italian	L1
post17857929	0.68	dragonseven	italiano	L1
post17860596	0.685	dragonseven	italiano	L1
post17861285	0.56	francisgranada	Hungarian	L2
post17861763	0.69	dragonseven	italiano	L1
post17866854	0.615	Francesco94	Italian	L1
post17947038	0.695	A User	Italian	L1
post12989283	0.725	smarcelli	Italy Italian	L1
post17934474	0.72	A User	Italian	L1
post17873646	0.71	dragonseven	italiano	L1
post17873956	0.7	dragonseven	italiano	L1
post17937768	0.57	dragonseven	italiano	L1
post9740500	0.51	vale_new	Italian - Italy	L1
post17931653	0.655	TheCrociato91	Italian - Northern Italy	L1
post6160856	0.585	mandarina.m	Slovenian	L2
post12857417	0.63	Giorgio Spizzi	Italian	L1
post13172407	0.565	bior	italiano	L1
post1438498	0.58	Broca's Area	Italian / Italy	L1
post1438621	0.54	Necsus	Italian (Italy)	L1
post5235025	0.725	TheFalcon	Italian; North-east dialect	L1
post8087567	0.69	bo-marco	Italiano Italia - Emiliano Mirandola	L1
post9991214	0.655	rsb	Italy, Italian	L1
post5237214	0.775	SunDraw	Veneto (Italia)	L1
post5281783	0.715	SunDraw	Veneto (Italia)	L1
post17852213	0.6	dragonseven	italiano	L1
post17850172	0.58	Francesco94	Italian	L1
post17851365	0.56	Francesco94	Italian	L1
post17827525	0.755	bearded	Italian	L1
post17821888	0.61	Francesco94	Italian	L1
post17823194	0.515	Francesco94	Italian	L1
post17814918	0.7	dragonseven	italiano	L1
post17782168	0.605	bearded	Italian	L1
post17782882	0.665	bearded	Italian	L1
post17786620	0.68	dragonseven	italiano	L1
post13399448	0.675	Connie Eyeland	Italiano	L1
post13400830	0.73	dragonseven	italiano	L1
post13401272	0.765	dragonseven	italiano	L1
post13401558	0.7	ursu-lab	italian, catalan & spanish	L1
post13401615	0.74	dragonseven	italiano	L1
post13413688	0.75	Connie Eyeland	Italiano	L1
post16322730	0.64	naemerys	Italian	L1
post17753746	0.67	dragonseven	italiano	L1
post17773218	0.67	dragonseven	italiano	L1
post8585051	0.55	Sandhinet	Italiano	L1
post12837913	0.72	Necsus	Italian (Italy)	L1
post17511876	0.375	pedro_trionix	Spanish and Galician	L2
post2739131	0.645	SunDraw	Veneto (Italia)	L1
post17738064	0.6	dragonseven	italiano	L1
post17740767	0.645	dragonseven	italiano	L1
post17741099	0.65	bearded	Italian	L1
post17751405	0.69	dragonseven	italiano	L1
post17715847	0.685	dragonseven	italiano	L1
post17716711	0.7	dragonseven	italiano	L1
post17718614	0.71	dragonseven	italiano	L1
post17724151	0.75	dragonseven	italiano	L1
post17723682	0.62	palomamapola	Italian	L1
post17726100	0.565	Uticens678	Italiano	L1
post17722307	0.79	magosil79	italian	L1
post14261898	0.695	Paulfromitaly	Italian	L1
post5560955	0.59	PSICHEF	Italiano	L1
post17701814	0.695	dragonseven	italiano	L1
post17704189	0.675	dragonseven	italiano	L1
post12184178	0.715	Sempervirens	italiano	L1
post12186640	0.595	violadaprile	italian	L1
post12189424	0.655	violadaprile	italian	L1
post17689558	0.64	dragonseven	italiano	L1
post17673938	0.61	bearded	Italian	L1
post17669426	0.72	GabrielH	Portuguese - Brazil	L2
post17635554	0.715	bearded	Italian	L1
post17656285	0.605	romolasgarai	English - UK	L2
post17656589	0.445	TheCrociato91	Italian - Northern Italy	L1
post13510990	0.755	Connie Eyeland	Italiano	L1
post13511798	0.605	Connie Eyeland	Italiano	L1
post13512332	0.71	Connie Eyeland	Italiano	L1
post13513459	0.6	Connie Eyeland	Italiano	L1
post17615327	0.585	gfa	Italian	L1
post15556433	0.685	bearded	Italian	L1
post15558405	0.765	bearded	Italian	L1
post15564665	0.66	Nino83	Italian	L1
post15583916	0.72	dragonseven	italiano	L1
post15595133	0.645	Blackman	Italiano/Sardo	L1
post15598327	0.585	Nino83	Italian	L1
post15598754	0.585	dragonseven	italiano	L1
post15599737	0.65	Nino83	Italian	L1
post15600053	0.62	frugnaglio	Italian	L1
post15601123	0.705	frugnaglio	Italian	L1
post17610158	0.71	MoltoMahler	Italian	L1
post8225074	0.67	simenon	italien	L1
post8690713	0.29	Carlix	Italian	L1
post17543054	0.605	dragonseven	italiano	L1
post17548328	0.72	dragonseven	italiano	L1
post17550133	0.69	bearded	Italian	L1
post17554564	0.665	bearded	Italian	L1
post17555082	0.665	francisgranada	Hungarian	L2
post17557494	0.645	bearded	Italian	L1
post17491703	0.735	dragonseven	italiano	L1
post5502534	0.74	SunDraw	Veneto (Italia)	L1
post5502851	0.685	andlima	Portuguese (Brazil)	L2
post15624133	0.68	quasi.stellar	italiano - italiano	L1
post15625243	0.655	emma click	italian	L1
post15626128	0.705	quasi.stellar	italiano - italiano	L1
post15626783	0.67	frugnaglio	Italian	L1
post17501650	0.64	dragonseven	italiano	L1
post17477677	0.645	dragonseven	italiano	L1
post17478335	0.665	dragonseven	italiano	L1
post17479028	0.65	bearded	Italian	L1
post17499494	0.7	dragonseven	italiano	L1
post3639711	0.59	Necsus	Italian (Italy)	L1
post17464488	0.685	Odysseus54	Italian - Marche	L1
post17449019	0.605	bearded	Italian	L1
post17438567	0.58	Franshyska	Italiano	L1
post17427262	0.6	dragonseven	italiano	L1
post17427561	0.63	bearded	Italian	L1
post17420073	0.66	lorenzos	italiano	L1
post17420338	0.71	dragonseven	italiano	L1
post17423760	0.74	dragonseven	italiano	L1
post17423979	0.605	dragonseven	italiano	L1
post17426267	0.54	dragonseven	italiano	L1
post17417830	0.54	giginho	Italiano & Piemontese	L1
post2478021	0.69	MünchnerFax	Italian, Italy	L1
post13436884	0.685	Connie Eyeland	Italiano	L1
post17394863	0.7	Mister Draken	Castellano (Argentina)	L2
post2026312	0.665	Necsus	Italian (Italy)	L1
post17326421	0.55	GabrielH	Portuguese - Brazil	L2
post17381520	0.51	Fooler	Italian (Italy)	L1
post17279851	0.645	bearded	Italian	L1
post17249296	0.705	sarpantra	Italian	L1
post17249856	0.71	sarpantra	Italian	L1
post17213628	0.525	symposium	Italian - Italy	L1
post17211786	0.645	Nahuel O Tavros	Spanish	L2
post5978036	0.635	brian	AmE (New Orleans)	L2
post5981271	0.6	quita	italy, italian	L1
post13078427	0.675	Connie Eyeland	Italiano	L1
post13078598	0.75	Connie Eyeland	Italiano	L1
post13234500	0.675	hakdz	Italian	L1
post17195751	0.695	GabrielH	Portuguese - Brazil	L2
post17195175	0.75	Blackman	Italiano/Sardo	L1
post17147182	0.615	dragonseven	italiano	L1
post17191498	0.705	dragonseven	italiano	L1
post17184847	0.58	dragonseven	italiano	L1
post17131346	0.565	Odysseus54	Italian - Marche	L1
post17110174	0.73	sarpantra	Italian	L1
post17090328	0.685	dragonseven	italiano	L1
post17124321	0.575	bearded	Italian	L1
post17116099	0.68	leev8	italiano	L1
post17120435	0.615	dragonseven	italiano	L1
post17122588	0.67	dragonseven	italiano	L1
post17115325	0.71	GabrielH	Portuguese - Brazil	L2
post17117025	0.715	GabrielH	Portuguese - Brazil	L2
post17115790	0.6	Olaszinhok	Italian	L1
post17112449	0.595	dragonseven	italiano	L1
