message_id	ttr	speaker	lang	ltype	topic	topicstarter	topicstarter_lang	topicstarter_ltype
post10471371	0.7	cuchuflete	EEUU-inglés	L2	post5765808	cuchuflete	EEUU-inglés	L2
post5765277	0.68	timpeac	English (England)	L1	post10471296	cuchuflete	EEUU-inglés	L2
post11560410	0.66	ride7359	English	L1	post11560260	aasim84	India - Urdu and English	L1
post18059252	0.75	PaulQ	English - England	L1	post18059228	Kross	Korean	L2
post18059024	0.57	dojibear	English - Northeast US	L1	post18059012	prudent260	Chinese	L2
post18059562	0.61	sound shift	English - England	L1	post18059548	Tenacious Learner	Spanish	L2
post18059379	0.69	Uncle Jack	British English	L1	post18058955	esunik	Russian	L2
post18058751	0.64	Barque	Tamil	L2	post18058721	skydown13	Mandarin	L2
post18057545	0.77	dojibear	English - Northeast US	L1	post18057371	timzhenyu	Chinese-China	L2
post37587	0.67	jacinta	USA English	L1	post37578	Antonio	Mexico/Spanish	L2
post18057060	0.66	Uncle Jack	British English	L1	post18056851	nguyen dung	Vietnamese	L2
post18055705	0.71	Uncle Jack	British English	L1	post18055627	dhejejjeskms	Korean	L2
post15072521	0.67	Andreas_	Russian - Russia	L2	post15072497	epistolario	Tagalog	L2
post18056212	0.72	Uncle Jack	British English	L1	post18056107	This_Is_Patrick	Persian	L2
post18056201	0.54	se16teddy	English - England	L1	post18056129	ewanna	Polish	L2
post18055497	0.58	Chez	English English	L1	post18055484	melika1373	Persian	L2
post9610673	0.52	Thomas Tompion	English - England	L1	post9610615	irysek	Polish	L2
post17827332	0.54	dojibear	English - Northeast US	L1	post17827308	brian&me	Chinese - China	L2
post2531160	0.59	Thomas Tompion	English - England	L1	post2531115	maraba	Spain	L2
post18050712	0.58	entangledbank	English - South-East England	L1	post18050706	supermarioutd	Persian	L2
post16735579	0.62	PaulQ	English - England	L1	post16735513	gil12345	chinese	L2
post17955281	0.65	Glenfarclas	English (American)	L1	post17955267	Subhajit12	Hindi	L2
post17466902	0.73	JulianStuart	English (UK then US)	L1	post17466891	Phil-Olly	Scotland, English	L1
post18049176	0.69	Uncle Jack	British English	L1	post18048784	JJXR	Russian	L2
post18050667	0.65	dojibear	English - Northeast US	L1	post18050608	Sasha He	Chinese	L2
post18050639	0.66	Shweggeh	Lithuanian	L2	post18050598	warNN	Kir	L2
post18048842	0.66	Chez	English English	L1	post18048835	alikhazaee	Persian	L2
post18050078	0.54	Sprachliebhaber	USA English	L1	post18049880	blahblahblahs	English-American | Spanish	L1
post18047729	0.69	entangledbank	English - South-East England	L1	post18047690	eugenioandreev	Russian	L2
post18048723	0.63	Uncle Jack	British English	L1	post18048693	ullas84	turkish	L2
post18046971	0.7	Chez	English English	L1	post18046907	AlexanderIII	Russian	L2
post18047676	0.82	entangledbank	English - South-East England	L1	post18047649	gingischan	Hebrew	L2
post18047752	0.55	SevenDays	Spanish	L2	post18047684	taceev	Turkish	L2
post18047094	0.76	PaulQ	English - England	L1	post18047065	hailept	Vietnam	L2
