message_id	ttr	speaker	lang	ltype
post5765808	0.56	cuchuflete	EEUU-inglés	L2
post10471371	0.635	cuchuflete	EEUU-inglés	L2
post5765521	0.61	Kelly B	USA English	L1
post5765274	0.65	cuchuflete	EEUU-inglés	L2
post5765279	0.615	Kelly B	USA English	L1
post5765283	0.63	cuchuflete	EEUU-inglés	L2
post7150415	0.555	Nunty	Hebrew-US English (bilingual)	L1
post5765277	0.65	timpeac	English (England)	L1
post5765280	0.7	panjandrum	English-Ireland (top end)	L1
post5765281	0.66	panjandrum	English-Ireland (top end)	L1
post14057903	0.64	panjandrum	English-Ireland (top end)	L1
post18060128	0.69	Truffula	English - USA	L1
post18060353	0.495	Truffula	English - USA	L1
post18059089	0.575	PureLand	Chinese	L2
post18058961	0.62	PureLand	Chinese	L2
post18057691	0.5	SevenDays	Spanish	L2
post18057928	0.52	SevenDays	Spanish	L2
post18057043	0.615	Blue Apple	Persian(Iran)	L2
post16232852	0.57	GreenWhiteBlue	USA - English	L1
post18052687	0.6	This_Is_Patrick	Persian	L2
post18055657	0.71	m1517luther	Thai	L2
post18056028	0.57	kentix	English - U.S.	L1
post18056168	0.63	Oddmania	French	L2
post18055866	0.605	lentulax	UK English	L1
post16960585	0.835	se16teddy	English - England	L1
post18051912	0.545	pachanga7	English - US	L1
post18013714	0.53	Anushka Athukorala	Sinhalese	L2
post18015725	0.51	Jaykay1053	English - Canada	L1
post18018931	0.51	Anushka Athukorala	Sinhalese	L2
post18019142	0.45	Uncle Jack	British English	L1
post18034243	0.51	Anushka Athukorala	Sinhalese	L2
post18038398	0.475	Jaykay1053	English - Canada	L1
post18050475	0.6	Jaykay1053	English - Canada	L1
post18055150	0.57	Anushka Athukorala	Sinhalese	L2
post18054987	0.565	kentix	English - U.S.	L1
post18053978	0.615	Agito a42	Russian	L2
post18053989	0.44	JJXR	Russian	L2
post18053920	0.66	Y zeng	Chinese	L2
post9610673	0.455	Thomas Tompion	English - England	L1
post18053282	0.555	kentix	English - U.S.	L1
post18053217	0.695	Xavier da Silva	Portuguese - Brazil	L2
post18052863	0.67	This_Is_Patrick	Persian	L2
post18052547	0.53	Fredziu	Polish	L2
post18052459	0.7	lingobingo	English - England	L1
post18051284	0.6	SevenDays	Spanish	L2
post18051886	0.585	pachanga7	English - US	L1
post16735513	0.585	gil12345	chinese	L2
post18051907	0.58	velisarius	British English (Sussex)	L1
post18050253	0.685	Phil-Olly	Scotland, English	L1
post18048784	0.34	JJXR	Russian	L2
post18050563	0.575	Englishmypassion	India - Hindi	L2
post18050647	0.49	entangledbank	English - South-East England	L1
post18050479	0.605	jakartaman	Korean	L2
post16995432	0.475	SevenDays	Spanish	L2
post16996497	0.385	Forero	USA English	L1
post18050204	0.48	Loob	English UK	L1
post18049255	0.44	dojibear	English - Northeast US	L1
post18047690	0.495	eugenioandreev	Russian	L2
post18049232	0.625	NewAmerica	Mandarin	L2
post18049121	0.595	epistolario	Tagalog	L2
post18045814	0.565	kinnetik	Polish - Poland	L2
post18047480	0.45	JJXR	Russian	L2
post16900886	0.34	PaulQ	English - England	L1
post4689023	0.63	LV4-26	France French	L2
post18047647	0.305	JJXR	Russian	L2
post18035322	0.56	Lucio_Orfeo	Italiano	L2
post18046714	0.545	PureLand	Chinese	L2
post18046214	0.48	Barque	Tamil	L2
post18046391	0.595	kentix	English - U.S.	L1
post18046423	0.465	Barque	Tamil	L2
