message_id	ttr	speaker	lang	ltype	topic	topicstarter	topicstarter_lang	topicstarter_ltype
post5286865	0.645	The WR Moderator Team	English	L2	post3309541	The WR Moderator Team	English	L2
post3313058	0.645	The WR Moderator Team	English	L2	post3313038	The WR Moderator Team	English	L2
post18015580	0.225	FR-ES	Français	L1	post18015038	Amzie	anglais - Angleterre	L2
post2324696	0.675	LV4-26	France French	L1	post2324449	Aupick	UK, English	L2
post3760969	0.705	Punky Zoé	France - français	L1	post3760241	gvergara	Español	L2
post17860843	0.38	Maître Capello	French – Switzerland	L1	post17860399	saquiwej	Hongrois	L2
post17832623	0.295	Maître Capello	French – Switzerland	L1	post17832255	xXxLaPaixXxX	English - Canada	L2
post17756507	0.645	SergueiL	Français	L1	post17756127	aitonnudieu	Vietnamien	L2
post1333025	0.635	stephatme	French, France	L1	post1324190	mtr	español	L2
post17690266	0.415	Maître Capello	French – Switzerland	L1	post17690097	chinoisautodidacte	chinois	L2
post17492414	0.695	quinoa	french	L1	post17492234	nasrinklz43	persan	L2
post17379114	0.71	plantin	français	L1	post17379040	simenon	italien	L2
post17360441	0.67	plantin	français	L1	post17360349	yazicioglu5	turc	L2
post17351594	0.67	plantin	français	L1	post17351088	aitonnudieu	Vietnamien	L2
post17320060	0.715	JClaudeK	Français France;       Deutsch (SW-Dtl.)	L1	post17319761	chinoisautodidacte	chinois	L2
post17322983	0.725	plantin	français	L1	post17322845	Anikam	français - France	L1
post17321055	0.715	plantin	français	L1	post17320534	yerberi	Turkish	L2
post17243286	0.61	k@t	Français de France	L1	post17242968	simenon	italien	L2
post3607765	0.53	Piotr Ivanovitch	France	L1	post3606979	sidahmed	Arabic	L2
post17181086	0.41	Maître Capello	French – Switzerland	L1	post17180993	CHOCOLAT17	coréen	L2
post17160868	0.74	plantin	français	L1	post17160550	nasrinklz43	persan	L2
post17109430	0.745	Piotr Ivanovitch	France	L1	post17109010	Locus_Solus	Polish	L2
post17010626	0.495	k@t	Français de France	L1	post17010254	salah94	Arabe	L2
post16956409	0.48	k@t	Français de France	L1	post16955488	ldmhx	chine--chinese	L2
post16923586	0.445	k@t	Français de France	L1	post16923490	CHOCOLAT17	coréen	L2
post16922010	0.55	k@t	Français de France	L1	post16921963	Reyhangh	Persan (Persian)	L2
post16847879	0.72	plantin	français	L1	post16847712	chinoisautodidacte	chinois	L2
post16799549	0.675	caraan	France- French	L1	post16799396	gingischan	Hebrew	L2
post15053247	0.635	cabbagetyf	chinois	L2	post15052580	J.F. de TROYES	francais-France	L1
post16698944	0.55	OLN	French - France,  ♀	L1	post16698799	petitchampignon	English - American	L2
post7145931	0.655	itka	français	L1	post7145783	Anna-chonger	Chinese	L2
post16690721	0.62	plantin	français	L1	post16690416	Elnonopololo	Español - Uruguay	L2
post1643081	0.54	Francois114	French - France	L1	post1642891	uman	English; USA	L2
post16592683	0.52	OLN	French - France,  ♀	L1	post16592147	Startinov	Arabe	L2
post16510215	0.67	Logospreference-1	français	L1	post16509921	pontusveteris	Espagnol - Espagne	L2
post16402026	0.605	LisigMalhouet	French - France	L1	post16401384	nancy161	korean	L2
post16372142	0.625	Maître Capello	French – Switzerland	L1	post16372027	chinoisautodidacte	chinois	L2
post16337659	0.645	Logospreference-1	français	L1	post16337552	couleur tropicale	chinois-singapore	L2
post16294598	0.65	Mr Swann	French - France	L1	post16294172	chinoisautodidacte	chinois	L2
post16229779	0.645	Logospreference-1	français	L1	post16229053	simenon	italien	L2
post16195226	0.615	hyppodie	French-paris	L1	post16193658	Logospreference-1	français	L1
post532020	0.76	xav	France	L1	post532014	esteban	Colombia Spanish	L2
post16125560	0.535	iuytr	french	L1	post16125024	simenon	italien	L2
post8515166	0.65	Me-K	french	L1	post8514946	gvergara	Español	L2
post16109311	0.585	janpol	France - français	L1	post16109175	nasrinklz43	persan	L2
post16036873	0.545	agnelo	French	L1	post16035912	annacr	Russian - Russia	L2
post16028671	0.675	iuytr	french	L1	post16028076	meliss	Ukrainian, Russian	L2
post15974039	0.705	Logospreference-1	français	L1	post15973844	marcello prevosto	italien	L2
post15868601	0.59	SergueiL	Français	L1	post15868388	simenon	italien	L2
