message_id	ttr	speaker	lang	ltype
post11019183	0.71	lauranazario	Español puertorriqueño & US English	L1
post11019222	0.76	ampurdan	Català & español (Spain)	L1
post12112581	0.7	ampurdan	Català & español (Spain)	L1
post11019223	0.59	Cintia&Martine	Français	L2
post12841748	0.66	Cintia&Martine	Français	L2
post17981401	0.67	Nata_Ive	Russian	L2
post17981713	0.72	Graciela J	Spanish - Argentina	L1
post17983692	0.74	charlybayer	spanish - yorugua	L1
post2644909	0.58	Namarne	Spanish	L1
post2644966	0.72	Tape2Tape	British English, Spain	L2
post2647732	0.72	Juan Carlos Garling	Spanish Chile/Argentina	L1
post2934747	0.7	Camilo1964	Spanish - Venezuela	L1
post18057265	0.75	Miguel On Ojj	Castellano	L1
post18059236	0.71	Ely1409	Spanish - Chile	L1
post18058456	0.74	pordiosero	Árabe-Dariya	L2
post18057389	0.78	Miguel On Ojj	Castellano	L1
post18057907	0.6	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1
post15828500	0.66	Rodal	Castellano (Chile)	L1
post15829059	0.66	Jonno	Castellano	L1
post15829449	0.72	S.V.	Español, México	L1
post18057689	0.76	lavecilla	Español	L1
post7300870	0.7	Javier Fdez. Collantes	España, español	L1
post17715711	0.68	Aviador	Castellano de Chile	L1
post18056262	0.64	Aviador	Castellano de Chile	L1
post18054942	0.76	Elcanario	Spanish - Spain	L1
post18054236	0.7	Mister Draken	Castellano (Argentina)	L1
post18054457	0.66	Elcanario	Spanish - Spain	L1
post18054403	0.79	Ayutuxtepeque	Español salvadoreño	L1
post18053120	0.71	lilly jo	Brazilian Portuguese	L2
post18053840	0.7	Xiscomx	Español de España y Balear	L1
post11143621	0.74	budhiprema	Venezuela, español	L1
post18021364	0.73	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1
post3487067	0.74	rafajuntoalmar	Castellano (tanto argentino como peninsu	L1
post18052020	0.75	Ayutuxtepeque	Español salvadoreño	L1
post10305093	0.63	Realice	Spanish - Spain	L1
post10305195	0.74	jorgema	Peruvian Spanish	L1
post10309920	0.75	Agró	Spanish-Navarre	L1
post10309989	0.7	cbrena	español	L1
post10310162	0.7	jorgema	Peruvian Spanish	L1
post10319584	0.69	cbrena	español	L1
post10319843	0.69	Agró	Spanish-Navarre	L1
post10319961	0.64	clares3	español España	L1
post10320411	0.75	Agró	Spanish-Navarre	L1
post10352115	0.74	duvija	Spanish - Uruguay	L1
post12489977	0.78	Lexinauta	Castellano - Argentina	L1
post12491881	0.69	XiaoRoel	galego, español	L1
post13117854	0.73	juandiego	Spanish from Spain	L1
post14861296	0.81	dareus	español	L1
post14862095	0.64	duvija	Spanish - Uruguay	L1
post15084050	0.75	Xiscomx	Español de España y Balear	L1
post15084096	0.74	ukimix	español	L1
post15084155	0.74	Xiscomx	Español de España y Balear	L1
post15084163	0.77	swift	Spanish – Costa Rica (Valle Central)	L1
post15089211	0.73	duvija	Spanish - Uruguay	L1
post15089381	0.67	Jaime Bien	Español/España	L1
post15393496	0.62	swift	Spanish – Costa Rica (Valle Central)	L1
post15405766	0.81	Gamen	Spanish Argentina	L1
post15407988	0.62	Xiscomx	Español de España y Balear	L1
post15408262	0.7	Xiscomx	Español de España y Balear	L1
post15408279	0.72	swift	Spanish – Costa Rica (Valle Central)	L1
post15408722	0.56	Xiscomx	Español de España y Balear	L1
post18033587	0.84	Tinska	Spanish - Argentina	L1
post18050778	0.68	Artifacs	Spanish- España	L1
post17999981	0.62	Artifacs	Spanish- España	L1
post18000431	0.67	jilar	Español	L1
post18000445	0.66	TheCrociato91	Italian - Northern Italy	L2
post7422499	0.82	Drumy	Spanish	L1
post7423228	0.71	XiaoRoel	galego, español	L1
post7437860	0.74	Drumy	Spanish	L1
post18049939	0.73	enebro	Spanish-Spain	L1
post18048993	0.66	Alberto Kim	korean- south korea	L2
post18048939	0.75	lovegonta	Japanese	L2
post18048203	0.66	woajiaorobert	Spanish - Ecuador	L1
post7876848	0.64	rodomonte	Spanish	L1
post18045545	0.8	Miguel On Ojj	Castellano	L1
post18046940	0.76	Alberto Kim	korean- south korea	L2
post18036745	0.76	kokolo	croata	L2
post18037012	0.66	Xiscomx	Español de España y Balear	L1
post18047219	0.68	natasha2000	Serbian	L2
post18045423	0.77	Alberto Kim	korean- south korea	L2
post18043376	0.62	natasha2000	Serbian	L2
post18043419	0.7	natasha2000	Serbian	L2
post18043816	0.49	Circunflejo	Castellano de Castilla	L1
post18044495	0.56	Circunflejo	Castellano de Castilla	L1
post18047201	0.64	natasha2000	Serbian	L2
post18046984	0.79	Alberto Kim	korean- south korea	L2
post18047172	0.63	Alberto Kim	korean- south korea	L2
post9861708	0.77	Martoo	Español (porteño)	L1
post1575394	0.71	Carlos Palomera	Spanish Mexico	L1
post10967253	0.77	JManuelCano	Mexican Spanish	L1
post18046571	0.75	Jr.renfe	Español	L1
post18046317	0.74	lauranazario	Español puertorriqueño & US English	L1
post18044460	0.79	Marisollam	Cantonese	L2
post5020849	0.73	lamartus	Spain Spanish	L1
post8203932	0.64	ositomentos	Spanish (Spain)	L1
post18042718	0.79	Nigar555	azerbaiyano	L2
post18042755	0.69	jsvillar	Spanish - Spain	L1
post18043285	0.73	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1
post18043463	0.74	lavecilla	Español	L1
post18043300	0.6	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1
post18039844	0.72	MiguelitOOO	Español - México	L1
post18040655	0.73	MiguelitOOO	Español - México	L1
post18042225	0.7	Circunflejo	Castellano de Castilla	L1
post18042809	0.81	Xiscomx	Español de España y Balear	L1
post18040938	0.66	TheCrociato91	Italian - Northern Italy	L2
post18041943	0.78	Miguel On Ojj	Castellano	L1
post18041481	0.76	Mossino	Español Argentino	L1
post18040166	0.73	Seelewig	Spanish & Catalan	L1
post18036223	0.76	Natalya Vinaeva	Russian	L2
post18036413	0.74	Orbayu	Español-España	L1
post17985819	0.71	Miguel On Ojj	Castellano	L1
post13562354	0.71	Sibutlasi	Spanish-Spain	L1
post13562934	0.66	Cal inhibes	Spanish	L1
post13563654	0.69	Sibutlasi	Spanish-Spain	L1
post18027554	0.67	MiguelitOOO	Español - México	L1
post18032779	0.68	Cerros de Úbeda	Spanish - Spain	L1
post18038366	0.69	Xiscomx	Español de España y Balear	L1
post18038831	0.75	Mossino	Español Argentino	L1
post3957561	0.74	Domtom	español, català	L1
post18035061	0.7	quethibum	Castellano peruano	L1
post18036337	0.77	Ayutuxtepeque	Español salvadoreño	L1
post18036121	0.6	Xiscomx	Español de España y Balear	L1
post18034117	0.74	Xiscomx	Español de España y Balear	L1
post18034076	0.73	Cerros de Úbeda	Spanish - Spain	L1
post18034106	0.85	Xiscomx	Español de España y Balear	L1
post9237735	0.7	RaulCavazos	Mexican Spanish	L1
post9238095	0.72	Aviador	Castellano de Chile	L1
post9240228	0.74	Bandama	Spanish	L1
post9243273	0.72	clares3	español España	L1
post18035566	0.79	jmx	Spain / Spanish	L1
post16487494	0.59	quethibum	Castellano peruano	L1
post17967768	0.74	Señor K	Español chileno	L1
post17970173	0.62	MiguelitOOO	Español - México	L1
post17970218	0.65	swift	Spanish – Costa Rica (Valle Central)	L1
post17970249	0.79	MiguelitOOO	Español - México	L1
post18035153	0.77	Hakuna Matata	Español - Argentina	L1
post18034086	0.71	Xiscomx	Español de España y Balear	L1
post18033339	0.69	Juancho2709	Español Colombiano	L1
post18034154	0.71	Ayutuxtepeque	Español salvadoreño	L1
post18033556	0.73	banukarakas	Turkish	L2
post18030946	0.82	lavecilla	Español	L1
post18031750	0.68	francisgranada	Hungarian	L2
post18032808	0.77	lavecilla	Español	L1
post18031271	0.73	Alberto Kim	korean- south korea	L2
post18031567	0.8	Artifacs	Spanish- España	L1
post18026503	0.62	Garachico	English & French	L2
post18027201	0.63	Garachico	English & French	L2
post18027796	0.69	Artifacs	Spanish- España	L1
post18027911	0.74	Garachico	English & French	L2
post14868905	0.46	Jaime Bien	Español/España	L1
post16396554	0.78	jilar	Español	L1
post18027412	0.76	Agró	Spanish-Navarre	L1
post18028483	0.73	jilar	Español	L1
post18028521	0.76	jorgema	Peruvian Spanish	L1
post18031582	0.66	Artifacs	Spanish- España	L1
post18030835	0.72	Miguel On Ojj	Castellano	L1
post14835958	0.65	Gamen	Spanish Argentina	L1
post14836332	0.67	nand-o	European Spanish	L1
post14836414	0.8	Julvenzor	Español propio (Andalucía, España)	L1
post14836504	0.72	nand-o	European Spanish	L1
post14836560	0.82	Julvenzor	Español propio (Andalucía, España)	L1
post18031007	0.56	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1
post18028546	0.68	jilar	Español	L1
post18031056	0.65	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1
post18018868	0.7	Mossino	Español Argentino	L1
post18025211	0.61	MiguelitOOO	Español - México	L1
post18025622	0.7	Circunflejo	Castellano de Castilla	L1
post18025801	0.63	Xiscomx	Español de España y Balear	L1
post18031069	0.6	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1
post18026779	0.66	Seelewig	Spanish & Catalan	L1
